#{"t_start": 1664975742.4017158, "env_id": null}
r,l,t
-51.0,51,44.256444
-51.0,51,44.260631
-51.0,51,44.272774
-51.0,51,46.986669
-22.0,22,47.013024
-51.0,51,47.116081
-51.0,51,47.119862
-40.0,40,47.167367
-51.0,51,47.18511
-42.0,42,47.273924
-51.0,51,47.295988
-51.0,51,47.336506
-51.0,51,47.347285
-51.0,51,47.45153
-51.0,51,47.480144
-51.0,51,47.529098
-51.0,51,47.541011
-51.0,51,47.613579
-51.0,51,47.637337
-51.0,51,47.682795
-51.0,51,47.694963
-51.0,51,47.771315
-51.0,51,47.796329
-51.0,51,47.844159
-51.0,51,47.857233
-15.0,15,47.904921
-51.0,51,47.932968
-51.0,51,47.958794
-51.0,51,48.017228
-51.0,51,48.113749
-51.0,51,48.156377
-51.0,51,48.190142
-51.0,51,48.256688
-18.0,18,48.337298
-51.0,51,48.342063
-51.0,51,48.380627
-15.0,15,48.399514
-51.0,51,48.406222
-22.0,22,48.482086
-51.0,51,48.537109
-51.0,51,48.578656
-51.0,51,48.611803
-51.0,51,48.69442
-51.0,51,48.741933
-51.0,51,48.770773
-51.0,51,48.80681
-51.0,51,48.880747
-51.0,51,48.91793
-51.0,51,48.946756
-51.0,51,48.969866
-51.0,51,49.040762
-51.0,51,49.0983
-51.0,51,49.141506
-51.0,51,49.175114
-51.0,51,49.262945
-51.0,51,49.317477
-51.0,51,49.360033
-51.0,51,49.39325
-51.0,51,49.469633
-51.0,51,49.525581
-51.0,51,49.5623
-51.0,51,49.584676
-51.0,51,49.641966
-29.0,29,49.667617
-51.0,51,49.679209
-51.0,51,49.708398
-26.0,26,49.717189
-51.0,51,49.814712
-51.0,51,49.826264
-51.0,51,49.855944
-51.0,51,49.865333
-46.0,46,50.017292
-51.0,51,50.022465
-41.0,41,50.039013
-51.0,51,50.092621
-39.0,39,50.182312
-30.0,30,50.217658
-51.0,51,50.229846
-51.0,51,50.250314
-51.0,51,50.389062
-51.0,51,50.421401
-51.0,51,50.433611
-51.0,51,50.453487
-51.0,51,50.599778
-51.0,51,50.625396
-51.0,51,50.638
-51.0,51,50.659962
-26.0,26,50.738713
-51.0,51,50.807751
-51.0,51,50.852832
-51.0,51,50.872005
-51.0,51,50.951223
-51.0,51,51.023777
-51.0,51,51.070069
-51.0,51,51.087436
-51.0,51,51.172264
-51.0,51,51.24789
-51.0,51,51.297364
-51.0,51,51.31991
-51.0,51,51.396169
-51.0,51,51.48105
-20.0,20,51.496588
-51.0,51,51.544406
-51.0,51,51.569088
-51.0,51,51.745619
-51.0,51,51.759647
-51.0,51,51.794709
-51.0,51,51.818059
-8.0,8,51.832022
-4.0,4,51.850038
-11.0,11,51.867903
-51.0,51,51.962221
-51.0,51,51.975136
-51.0,51,52.05052
-51.0,51,52.064164
-51.0,51,52.170102
-51.0,51,52.185219
-51.0,51,52.32894
-51.0,51,52.347247
-41.0,41,52.426534
-51.0,51,52.450856
-51.0,51,52.554505
-51.0,51,52.573675
-51.0,51,52.638239
-26.0,26,52.65433
-51.0,51,52.660685
-18.0,18,52.725249
-22.0,22,52.749934
-51.0,51,52.774491
-9.0,9,52.790995
-51.0,51,52.853342
-51.0,51,52.957952
-51.0,51,53.000363
-51.0,51,53.013644
-51.0,51,53.074483
-51.0,51,53.185573
