#{"t_start": 1658417775.9753768, "env_id": null}
r,l,t
1.0,199,111.937166
1.0,199,111.937178
1.0,199,111.937188
1.0,199,112.456294
1.0,199,112.456359
1.0,199,112.456371
1.0,199,112.456379
1.0,199,112.971008
1.0,199,112.97109
1.0,199,112.971102
1.0,199,112.971111
1.0,199,113.480422
1.0,199,113.480485
1.0,199,113.480496
1.0,199,113.480505
1.0,199,113.988721
1.0,199,113.98879
1.0,199,113.988802
1.0,199,113.988811
1.0,199,114.506796
1.0,199,114.506858
1.0,199,114.506869
1.0,199,114.506877
1.0,199,115.041766
1.0,199,115.041828
1.0,199,115.041837
1.0,199,115.041844
1.0,199,115.571812
1.0,199,115.571869
1.0,199,115.571881
1.0,199,115.57189
1.0,199,116.087343
1.0,199,116.087399
1.0,199,116.087408
1.0,199,116.087415
1.0,199,116.618158
1.0,199,116.618216
1.0,199,116.618225
1.0,199,116.618233
1.0,199,117.137762
1.0,199,117.137827
1.0,199,117.137837
1.0,199,117.137843
1.0,199,117.669104
1.0,199,117.669161
1.0,199,117.669172
1.0,199,117.669179
1.0,199,118.192315
1.0,199,118.192374
1.0,199,118.192384
1.0,199,118.192391
1.0,199,118.713571
1.0,199,118.713626
1.0,199,118.713636
1.0,199,118.713642
1.0,199,119.232565
1.0,199,119.232627
1.0,199,119.232637
1.0,199,119.232644
1.0,199,119.755005
1.0,199,119.755076
1.0,199,119.755088
1.0,199,119.755095
1.0,199,120.279719
1.0,199,120.279773
1.0,199,120.279782
1.0,199,120.279789
1.0,199,120.819814
1.0,199,120.81987
1.0,199,120.819879
1.0,199,120.819886
1.0,199,121.355936
1.0,199,121.35599
1.0,199,121.356
1.0,199,121.356006
1.0,199,121.874634
1.0,199,121.874688
1.0,199,121.874698
1.0,199,121.874705
1.0,199,122.397184
1.0,199,122.397241
1.0,199,122.397251
1.0,199,122.397258
1.0,199,122.934681
1.0,199,122.934739
1.0,199,122.934748
1.0,199,122.934755
1.0,199,123.457837
1.0,199,123.457904
1.0,199,123.457914
1.0,199,123.45792
1.0,199,123.990099
1.0,199,123.990155
1.0,199,123.990165
1.0,199,123.990172
1.0,199,124.507298
1.0,199,124.507355
1.0,199,124.507364
1.0,199,124.507371
1.0,199,125.020489
1.0,199,125.02055
1.0,199,125.020559
1.0,199,125.020566
1.0,199,125.544316
1.0,199,125.544372
1.0,199,125.544381
1.0,199,125.544388
1.0,199,126.072941
1.0,199,126.073018
1.0,199,126.073027
1.0,199,126.073034
1.0,199,126.580345
1.0,199,126.580423
1.0,199,126.580437
1.0,199,126.580446
1.0,199,127.086258
1.0,199,127.08632
1.0,199,127.086331
1.0,199,127.086339
1.0,199,127.596004
1.0,199,127.596066
1.0,199,127.596078
1.0,199,127.596086
1.0,199,128.118383
1.0,199,128.118445
1.0,199,128.118456
1.0,199,128.118465
1.0,199,128.667554
1.0,199,128.667609
1.0,199,128.667623
1.0,199,128.667631
1.0,199,129.205121
1.0,199,129.205187
1.0,199,129.205201
1.0,199,129.205209
1.0,199,129.737913
1.0,199,129.737984
1.0,199,129.737995
1.0,199,129.738003
1.0,199,130.271767
1.0,199,130.271838
1.0,199,130.271849
1.0,199,130.271858
1.0,199,130.80263
1.0,199,130.802691
1.0,199,130.802702
1.0,199,130.80271
1.0,199,131.333407
1.0,199,131.333481
1.0,199,131.333493
1.0,199,131.333501
1.0,199,131.86007
1.0,199,131.86013
1.0,199,131.860142
1.0,199,131.86015
1.0,199,132.379647
1.0,199,132.379712
1.0,199,132.379723
1.0,199,132.379731
1.0,199,132.906513
1.0,199,132.906586
1.0,199,132.906597
1.0,199,132.906606
1.0,199,133.43557
1.0,199,133.435634
1.0,199,133.435646
1.0,199,133.435654
1.0,199,133.972239
1.0,199,133.972303
1.0,199,133.972314
1.0,199,133.972322
1.0,199,134.512564
1.0,199,134.512646
1.0,199,134.512657
1.0,199,134.512665
1.0,199,135.030241
1.0,199,135.030302
1.0,199,135.030313
1.0,199,135.030321
1.0,199,135.560167
1.0,199,135.56023
1.0,199,135.560242
1.0,199,135.56025
1.0,199,136.088621
1.0,199,136.088691
1.0,199,136.088702
1.0,199,136.088711
1.0,199,136.6249
1.0,199,136.624965
1.0,199,136.624976
1.0,199,136.624985
1.0,199,137.161442
1.0,199,137.161506
1.0,199,137.161518
1.0,199,137.161527
1.0,199,137.67614
1.0,199,137.67621
1.0,199,137.676221
1.0,199,137.67623
1.0,199,138.195142
1.0,199,138.195204
1.0,199,138.195218
1.0,199,138.195226
1.0,199,138.710791
1.0,199,138.710857
1.0,199,138.710868
1.0,199,138.710877
1.0,199,139.220647
1.0,199,139.220717
1.0,199,139.220728
1.0,199,139.220737
1.0,199,139.734001
1.0,199,139.734072
1.0,199,139.734083
1.0,199,139.734091
1.0,199,140.247153
1.0,199,140.247218
1.0,199,140.24723
1.0,199,140.247238
1.0,199,140.810172
1.0,199,140.810237
1.0,199,140.810248
1.0,199,140.810257
1.0,199,141.336225
1.0,199,141.336282
1.0,199,141.336294
1.0,199,141.336302
1.0,199,141.863831
1.0,199,141.863882
1.0,199,141.863908
1.0,199,141.863915
1.0,199,142.377875
1.0,199,142.377931
1.0,199,142.377941
1.0,199,142.377948
1.0,199,142.890563
1.0,199,142.890624
1.0,199,142.890636
1.0,199,142.890642
1.0,199,143.409289
1.0,199,143.409347
1.0,199,143.409356
1.0,199,143.409363
1.0,199,143.955302
1.0,199,143.955356
1.0,199,143.955366
1.0,199,143.955372
1.0,199,144.50649
1.0,199,144.506551
1.0,199,144.506561
1.0,199,144.506569
1.0,199,145.066729
1.0,199,145.067786
1.0,199,145.067798
1.0,199,145.067805
1.0,199,145.606596
1.0,199,145.606653
1.0,199,145.606662
1.0,199,145.606669
1.0,199,146.120908
1.0,199,146.120969
1.0,199,146.120978
1.0,199,146.120986
1.0,199,146.634452
1.0,199,146.634515
1.0,199,146.634525
1.0,199,146.634533
1.0,199,147.15552
1.0,199,147.155575
1.0,199,147.155584
1.0,199,147.155594
1.0,199,147.679372
1.0,199,147.679438
1.0,199,147.679448
1.0,199,147.679455
1.0,199,148.195985
1.0,199,148.196039
1.0,199,148.196048
1.0,199,148.196055
1.0,199,148.713014
1.0,199,148.713075
1.0,199,148.713087
1.0,199,148.713094
1.0,199,149.23871
1.0,199,149.238768
1.0,199,149.238778
1.0,199,149.238785
1.0,199,149.747913
1.0,199,149.747982
1.0,199,149.747991
1.0,199,149.747998
1.0,199,150.264926
1.0,199,150.264989
1.0,199,150.264999
1.0,199,150.265006
1.0,199,150.779107
1.0,199,150.779178
1.0,199,150.779189
1.0,199,150.779196
1.0,199,151.29232
1.0,199,151.292384
1.0,199,151.292393
1.0,199,151.2924
1.0,199,151.816397
1.0,199,151.81646
1.0,199,151.816469
1.0,199,151.816478
1.0,199,152.346401
1.0,199,152.346458
1.0,199,152.346468
1.0,199,152.346475
1.0,199,152.881106
1.0,199,152.88117
1.0,199,152.881179
1.0,199,152.881185
1.0,199,153.413972
1.0,199,153.414049
1.0,199,153.414059
1.0,199,153.414066
1.0,199,153.941695
1.0,199,153.941751
1.0,199,153.941761
1.0,199,153.941768
1.0,199,154.459797
1.0,199,154.45985
1.0,199,154.45986
1.0,199,154.459867
1.0,199,154.977263
1.0,199,154.977325
1.0,199,154.977338
1.0,199,154.977344
1.0,199,155.489281
1.0,199,155.489336
1.0,199,155.489345
1.0,199,155.489352
1.0,199,156.016548
1.0,199,156.016614
1.0,199,156.016623
1.0,199,156.01663
1.0,199,156.53332
1.0,199,156.533387
1.0,199,156.533399
1.0,199,156.533407
1.0,199,157.043525
1.0,199,157.04359
1.0,199,157.043601
1.0,199,157.04361
1.0,199,157.556359
1.0,199,157.556416
1.0,199,157.556427
1.0,199,157.556435
1.0,199,158.096799
1.0,199,158.09686
1.0,199,158.096871
1.0,199,158.09688
1.0,199,158.630002
1.0,199,158.630072
1.0,199,158.630084
1.0,199,158.630092
1.0,199,159.173307
1.0,199,159.173369
1.0,199,159.17338
1.0,199,159.173388
1.0,199,159.702921
1.0,199,159.702985
1.0,199,159.702997
1.0,199,159.703005
1.0,199,160.235484
1.0,199,160.235546
1.0,199,160.235557
1.0,199,160.235566
1.0,199,160.788169
1.0,199,160.788234
1.0,199,160.788247
1.0,199,160.788256
1.0,199,161.323179
1.0,199,161.323246
1.0,199,161.32326
1.0,199,161.323269
1.0,199,161.861054
1.0,199,161.861114
1.0,199,161.861125
1.0,199,161.861134
1.0,199,162.404573
1.0,199,162.404633
1.0,199,162.404645
1.0,199,162.404653
1.0,199,162.935076
1.0,199,162.935146
1.0,199,162.935157
1.0,199,162.935166
1.0,199,163.471547
1.0,199,163.471618
1.0,199,163.471629
1.0,199,163.471637
1.0,199,163.989584
1.0,199,163.989651
1.0,199,163.989663
1.0,199,163.989671
1.0,199,164.517236
1.0,199,164.517306
1.0,199,164.517317
1.0,199,164.517326
1.0,199,165.030215
1.0,199,165.030278
1.0,199,165.030289
1.0,199,165.030298
1.0,199,165.553494
1.0,199,165.553564
1.0,199,165.553575
1.0,199,165.553584
1.0,199,166.083274
1.0,199,166.083341
1.0,199,166.083352
1.0,199,166.083361
1.0,199,166.597309
1.0,199,166.597377
1.0,199,166.597388
1.0,199,166.597396
1.0,199,167.116064
1.0,199,167.11613
1.0,199,167.116142
1.0,199,167.116151
1.0,199,167.638337
1.0,199,167.638405
1.0,199,167.638416
1.0,199,167.638424
1.0,199,168.162161
1.0,199,168.162227
